Complaint ID,Company Response to Consumer,Timely Response,Consumer Disputed
654182,Closed with non-monetary relief,Yes,No
660742,Closed with explanation,Yes,Yes
655422,Closed with explanation,Yes,Yes
638581,Closed with explanation,Yes,No
668872,Closed with non-monetary relief,Yes,No
661503,Closed with explanation,Yes,No
653589,Closed with non-monetary relief,Yes,No
632057,Closed with explanation,Yes,No
632059,Closed with explanation,Yes,No
632037,Closed with explanation,Yes,No
654206,Closed with explanation,Yes,No
661519,Closed with explanation,Yes,No
654211,Closed with explanation,Yes,No
653612,Closed with explanation,Yes,Yes
661506,Closed with explanation,Yes,No
661536,Closed with explanation,Yes,No
662502,Closed with explanation,Yes,No
654228,Closed with explanation,Yes,Yes
668932,Closed with explanation,Yes,No
662449,Closed with explanation,Yes,No
630974,Closed with explanation,Yes,Yes
632115,Closed with non-monetary relief,Yes,No
632017,Closed with explanation,Yes,No
661564,Closed with explanation,Yes,Yes
631035,Closed with explanation,Yes,No
668952,Closed with explanation,Yes,Yes
661555,Closed with explanation,Yes,No
654281,Closed with explanation,Yes,No
668965,Closed with explanation,Yes,No
668972,Closed with explanation,Yes,No
631830,Closed with non-monetary relief,Yes,No
661585,Closed with monetary relief,Yes,No
661586,Closed with explanation,Yes,Yes
668978,Closed with non-monetary relief,Yes,Yes
654388,Closed with explanation,Yes,No
668982,Closed with explanation,Yes,No
654270,Closed with explanation,Yes,No
655125,Closed with explanation,Yes,No
668987,Closed with explanation,Yes,No
668994,Closed with explanation,Yes,No
632156,Closed with explanation,Yes,No
632157,Closed with monetary relief,Yes,No
669004,Closed with explanation,Yes,No
632172,Closed with non-monetary relief,Yes,No
669367,Closed with explanation,Yes,No
669020,Closed with explanation,Yes,No
632192,Closed with monetary relief,Yes,No
671432,Closed with explanation,Yes,No
669036,Closed with explanation,Yes,Yes
632209,Closed with explanation,Yes,No
632576,Closed with explanation,Yes,Yes
632202,Closed with non-monetary relief,Yes,No
632249,Closed with explanation,Yes,Yes
632795,Closed,Yes,No
632798,Closed with explanation,Yes,No
669064,Closed with explanation,Yes,No
669076,Closed with explanation,Yes,No
667411,Closed with explanation,Yes,No
634219,Closed with explanation,Yes,No
632824,Closed with explanation,Yes,No
669035,Closed with explanation,Yes,No
669266,Closed with explanation,Yes,Yes
669131,Closed with explanation,Yes,No
632861,Closed with explanation,Yes,No
669995,Closed with monetary relief,Yes,No
632862,Closed with explanation,Yes,Yes
632866,Closed with explanation,Yes,Yes
667259,Closed with explanation,Yes,No
632876,Closed with explanation,Yes,No
632898,Closed with explanation,Yes,No
634257,Closed with explanation,Yes,No
632891,Closed with explanation,Yes,Yes
632899,Closed with explanation,Yes,No
634557,Closed with explanation,Yes,Yes
632914,Closed with explanation,Yes,No
632916,Closed with explanation,Yes,No
633316,Closed with explanation,Yes,No
632721,Closed with explanation,Yes,No
633087,Closed with explanation,Yes,No
632636,Closed with explanation,Yes,No
632641,Closed with non-monetary relief,Yes,No
632937,Closed with explanation,Yes,Yes
633100,Closed with explanation,Yes,No
632999,Closed with explanation,Yes,No
632974,Closed with monetary relief,Yes,No
632779,Closed with explanation,Yes,No
633013,Closed with non-monetary relief,Yes,No
633030,Closed with explanation,No,No
633047,Closed with explanation,Yes,No
634566,Closed with explanation,Yes,No
633051,Closed with non-monetary relief,Yes,No
633099,Closed with explanation,Yes,No
632676,Closed with explanation,Yes,Yes
633141,Closed with explanation,Yes,No
633155,Closed with non-monetary relief,Yes,No
634558,Closed with monetary relief,Yes,No
633186,Closed with explanation,Yes,No
633207,Closed with explanation,Yes,Yes
633208,Closed with explanation,Yes,No
633214,Closed with monetary relief,Yes,No
633236,Closed with explanation,Yes,Yes
633249,Closed with explanation,Yes,No
633332,Closed with monetary relief,Yes,No
633345,Closed with explanation,Yes,No
632647,Closed with explanation,Yes,No
633362,Closed with explanation,Yes,Yes
632715,Closed with explanation,Yes,No
633391,Closed with explanation,Yes,Yes
634570,Closed with explanation,Yes,Yes
634580,Closed with monetary relief,Yes,No
625013,Closed with explanation,Yes,No
633407,Closed with explanation,Yes,Yes
634201,Closed with explanation,Yes,No
633436,Closed with explanation,Yes,No
633437,Closed with explanation,Yes,No
633371,Closed with explanation,Yes,No
625621,Closed with explanation,Yes,No
625049,Closed with explanation,Yes,No
633455,Closed with monetary relief,Yes,No
633459,Closed with explanation,No,No
625063,Closed with explanation,Yes,No
625073,Closed with explanation,Yes,No
633480,Closed with explanation,Yes,No
625077,Closed with explanation,Yes,No
634579,Closed with explanation,Yes,Yes
624524,Closed with explanation,Yes,No
633720,Closed with explanation,Yes,No
633635,Closed with explanation,Yes,Yes
633534,Closed with explanation,Yes,Yes
634292,Closed with explanation,Yes,No
625142,Closed with explanation,Yes,No
625147,Closed with explanation,Yes,No
625149,Closed with explanation,Yes,No
633614,Closed with monetary relief,Yes,No
625166,Closed with monetary relief,Yes,No
627449,Closed with non-monetary relief,Yes,No
627450,Closed with explanation,Yes,No
625180,Closed with explanation,Yes,No
633568,Closed with explanation,Yes,No
634551,Closed with explanation,Yes,Yes
633571,Closed with explanation,Yes,No
625196,Closed with explanation,Yes,No
633581,Closed with non-monetary relief,Yes,No
625197,Closed with explanation,Yes,Yes
633588,Closed with non-monetary relief,Yes,No
625211,Closed with explanation,Yes,No
625219,Closed with explanation,Yes,Yes
638590,Closed with explanation,Yes,No
625234,Closed with explanation,Yes,No
639892,Closed with explanation,Yes,No
624141,Closed with explanation,Yes,No
632739,Closed,Yes,No
638203,Closed,Yes,No
638598,Closed with explanation,No,
625239,Closed with explanation,Yes,No
625247,Closed with non-monetary relief,Yes,No
638599,Closed with explanation,Yes,No
639196,Closed,Yes,No
638602,Closed with non-monetary relief,Yes,Yes
633626,Closed with explanation,Yes,No
633627,Closed with non-monetary relief,Yes,No
639570,Closed with non-monetary relief,Yes,Yes
633638,Closed with explanation,Yes,Yes
633639,Closed with non-monetary relief,Yes,No
638810,Closed with explanation,Yes,No
638897,Closed with explanation,Yes,No
638612,Closed with explanation,Yes,No
638907,Closed with explanation,Yes,Yes
645978,Closed with explanation,Yes,No
646825,Closed with explanation,Yes,No
638855,Closed with non-monetary relief,Yes,No
638616,Closed with explanation,Yes,No
624060,Closed,Yes,Yes
646094,Closed with explanation,Yes,No
625289,Closed with monetary relief,Yes,No
639921,Closed with explanation,Yes,No
625292,Closed with non-monetary relief,Yes,No
625298,Closed with non-monetary relief,Yes,No
625300,Closed with explanation,Yes,No
639219,Closed with explanation,Yes,No
625301,Closed with explanation,No,No
626701,Closed with explanation,Yes,Yes
633696,Closed with explanation,Yes,No
627459,Closed with explanation,Yes,No
639588,Closed with explanation,Yes,No
625312,Closed with explanation,Yes,No
646133,Closed with explanation,Yes,No
646136,Closed with explanation,Yes,No
634241,Closed with non-monetary relief,Yes,Yes
647070,Closed with explanation,Yes,Yes
624075,Closed with explanation,Yes,No
625317,Closed with explanation,Yes,No
633712,Closed with monetary relief,Yes,Yes
633713,Closed with explanation,Yes,No
626575,Closed with monetary relief,Yes,No
623992,Closed with explanation,Yes,No
646163,Closed with explanation,Yes,No
625344,Closed with explanation,Yes,Yes
638673,Closed with explanation,Yes,No
625337,Closed with explanation,Yes,No
644197,Closed with explanation,Yes,No
625352,Closed with non-monetary relief,Yes,Yes
640227,Closed with explanation,Yes,No
625362,Closed with explanation,Yes,No
625365,Closed with explanation,Yes,No
625370,Closed with non-monetary relief,Yes,No
625375,Closed with monetary relief,Yes,No
633773,Closed with explanation,Yes,No
633777,Closed with explanation,Yes,No
625377,Closed with explanation,No,
646190,Closed with explanation,Yes,Yes
644491,Closed with explanation,Yes,No
625395,Closed with explanation,Yes,No
625396,Closed with non-monetary relief,Yes,No
634223,Closed with explanation,Yes,No
633804,Closed with explanation,Yes,No
625406,Closed with explanation,Yes,No
626617,Closed with explanation,Yes,No
625414,Closed with explanation,Yes,Yes
640233,Closed with non-monetary relief,Yes,No
646221,Closed with explanation,Yes,No
625415,Closed with explanation,Yes,No
625416,Closed with explanation,Yes,No
625417,Closed with explanation,Yes,No
638753,Closed with explanation,Yes,No
626661,Closed with explanation,Yes,Yes
633829,Closed with explanation,Yes,No
627410,Closed with non-monetary relief,Yes,No
624055,Closed with explanation,Yes,Yes
646229,Closed with explanation,Yes,No
625432,Closed with explanation,Yes,No
644562,Closed with non-monetary relief,Yes,No
625426,Closed with explanation,Yes,No
638710,Closed with explanation,Yes,Yes
632762,Closed with non-monetary relief,Yes,No
646237,Closed with explanation,Yes,Yes
647066,Closed with explanation,Yes,No
633854,Closed with explanation,Yes,Yes
647067,Closed with explanation,Yes,Yes
625443,Closed with explanation,Yes,Yes
647073,Closed with explanation,Yes,No
647075,Closed with explanation,Yes,No
626993,Closed with explanation,Yes,Yes
625450,Closed with non-monetary relief,Yes,No
647078,Closed with explanation,Yes,No
647080,Closed with explanation,Yes,No
638798,Closed with explanation,Yes,No
633871,Closed with explanation,Yes,No
625459,Closed with explanation,Yes,No
626698,Closed with explanation,Yes,No
647088,Closed with explanation,Yes,Yes
653600,Closed with explanation,No,
625466,Closed with explanation,Yes,Yes
654303,Closed with explanation,Yes,No
633896,Closed with explanation,Yes,No
625471,Closed with explanation,Yes,No
625473,Closed with non-monetary relief,Yes,No
647106,Closed with monetary relief,Yes,No
625474,Closed with non-monetary relief,Yes,No
647119,Closed with non-monetary relief,Yes,No
625287,Closed with non-monetary relief,Yes,No
625483,Closed with explanation,Yes,No
640235,Closed with explanation,Yes,No
654321,Closed with explanation,Yes,Yes
625494,Closed with explanation,Yes,No
639163,Closed with monetary relief,Yes,No
638862,Closed with explanation,Yes,No
627473,Closed with explanation,Yes,No
646858,Closed with non-monetary relief,Yes,No
647143,Closed with non-monetary relief,Yes,No
654340,Closed with explanation,Yes,No
625501,Closed with explanation,Yes,No
625502,Closed with explanation,Yes,No
625503,Closed with explanation,Yes,Yes
627547,Closed with monetary relief,Yes,Yes
633945,Closed with explanation,Yes,No
634545,Closed with explanation,Yes,Yes
626623,Closed with explanation,Yes,Yes
633949,Closed with explanation,Yes,Yes
654351,Closed with explanation,Yes,Yes
625513,Closed with non-monetary relief,Yes,No
647161,Closed,Yes,No
640236,Closed with explanation,Yes,No
633959,Closed with explanation,Yes,No
638900,Closed with explanation,Yes,No
654362,Closed with explanation,Yes,No
634283,Closed with explanation,Yes,Yes
625521,Closed with explanation,Yes,No
647166,Closed with monetary relief,Yes,No
661614,Closed with explanation,Yes,No
627694,Closed,Yes,Yes
647038,Closed with explanation,Yes,No
625531,Closed with explanation,Yes,No
654380,Closed with monetary relief,Yes,No
625532,Closed with explanation,Yes,Yes
647179,Closed with explanation,Yes,No
661622,Closed with monetary relief,Yes,No
625533,Closed with explanation,Yes,No
625536,Closed with explanation,Yes,No
638919,Closed with explanation,Yes,No
633984,Closed with explanation,Yes,No
633983,Closed with explanation,Yes,No
654396,Closed with explanation,Yes,Yes
654402,Closed with explanation,Yes,Yes
647189,Closed with explanation,Yes,No
633992,Closed with non-monetary relief,Yes,No
647192,Closed with explanation,Yes,No
662493,Closed with non-monetary relief,Yes,Yes
638939,Closed with non-monetary relief,Yes,No
647198,Closed with non-monetary relief,Yes,Yes
647044,Closed with explanation,Yes,Yes
625555,Closed with explanation,Yes,No
638946,Closed with explanation,Yes,No
660549,Closed with explanation,Yes,Yes
661652,Closed with explanation,Yes,Yes
634014,Closed with explanation,Yes,No
634016,Closed with explanation,Yes,No
647207,Closed with explanation,Yes,No
634019,Closed with explanation,Yes,No
647208,Closed with explanation,Yes,No
647210,Closed with explanation,Yes,No
662924,Closed with explanation,Yes,No
634026,Closed with explanation,Yes,No
634029,Closed with non-monetary relief,Yes,No
638969,Closed with explanation,Yes,Yes
654438,Closed with explanation,Yes,No
634034,Closed with explanation,Yes,No
634039,Closed with non-monetary relief,Yes,No
646841,Closed with explanation,Yes,Yes
634042,Closed with explanation,Yes,No
634044,Closed with explanation,Yes,No
638245,Closed with explanation,Yes,No
634046,Closed with non-monetary relief,Yes,No
647228,Closed with non-monetary relief,Yes,No
654461,Closed with explanation,Yes,No
660667,Closed with explanation,Yes,No
639607,Closed with explanation,Yes,No
627586,Closed with explanation,Yes,No
632783,Closed with explanation,Yes,Yes
647247,Closed with explanation,No,No
661706,Closed with explanation,Yes,
634062,Closed with non-monetary relief,Yes,No
638155,Closed with explanation,Yes,No
661707,Untimely response,No,
660583,Closed with explanation,Yes,No
634068,Closed with explanation,Yes,No
661600,Closed with non-monetary relief,Yes,No
661722,Closed with explanation,Yes,Yes
634076,Closed with explanation,Yes,No
634077,Closed with explanation,Yes,No
654497,Closed with explanation,Yes,No
638149,Closed with non-monetary relief,Yes,No
661725,Closed with explanation,Yes,No
625619,Closed with explanation,Yes,No
624091,Closed with explanation,Yes,Yes
647270,Closed with explanation,Yes,No
654501,Closed with explanation,Yes,No
634082,Closed with explanation,Yes,No
638992,Closed with explanation,Yes,No
648344,Closed with explanation,Yes,No
646958,Closed with explanation,Yes,Yes
632672,Closed with explanation,Yes,Yes
639024,Closed with explanation,Yes,Yes
653530,Closed with monetary relief,Yes,No
647279,Closed with explanation,Yes,No
639030,Closed with explanation,Yes,No
647283,Closed with explanation,Yes,No
647284,Closed with explanation,No,No
654518,Closed with explanation,Yes,No
634111,Closed with explanation,Yes,No
634113,Closed with explanation,Yes,No
661759,Closed with explanation,Yes,No
661760,Closed with explanation,Yes,
634121,Closed with explanation,Yes,No
634123,Closed with monetary relief,Yes,No
634124,Closed with non-monetary relief,Yes,No
639065,Closed with explanation,Yes,Yes
634127,Closed with explanation,Yes,No
661780,Closed with explanation,Yes,
647351,Closed with explanation,Yes,No
632759,Closed with explanation,Yes,Yes
660664,Closed with non-monetary relief,Yes,No
647306,Closed with explanation,Yes,No
661788,Closed with non-monetary relief,Yes,No
654545,Closed with explanation,Yes,No
634142,Closed with explanation,Yes,No
654553,Closed with non-monetary relief,Yes,No
625669,Closed with monetary relief,Yes,No
647312,Closed with explanation,Yes,No
647314,Closed with explanation,Yes,No
634149,Closed with explanation,Yes,No
654556,Closed with explanation,Yes,No
654557,Closed with explanation,Yes,No
667281,Closed with explanation,Yes,No
634153,Closed with explanation,Yes,No
634517,Closed with monetary relief,Yes,No
639096,Closed with explanation,Yes,No
625672,Closed with non-monetary relief,Yes,No
634561,Closed with explanation,Yes,No
625677,Closed with monetary relief,Yes,No
655433,Closed with explanation,Yes,No
655434,Closed with explanation,Yes,No
669327,Closed with explanation,Yes,No
634161,Closed with explanation,No,No
669188,Closed with non-monetary relief,Yes,No
632688,Closed with explanation,Yes,Yes
632623,Closed with explanation,Yes,Yes
670006,Closed with explanation,Yes,No
625688,Closed with explanation,Yes,No
625691,Closed with explanation,Yes,No
647331,Closed with explanation,Yes,No
632624,Closed with non-monetary relief,Yes,Yes
638162,Closed with non-monetary relief,Yes,No
634218,Closed with explanation,Yes,No
661828,Closed with explanation,Yes,No
670019,Closed with explanation,Yes,Yes
632625,Closed with explanation,Yes,Yes
638166,Closed with explanation,Yes,No
634569,Closed with monetary relief,Yes,No
653538,Closed with explanation,Yes,No
623990,Closed with explanation,Yes,No
669337,Closed with explanation,Yes,Yes
634176,Closed with non-monetary relief,Yes,Yes
654599,Closed with explanation,Yes,No
639124,Closed with non-monetary relief,Yes,No
670028,Closed with explanation,Yes,No
626604,Closed with monetary relief,Yes,No
647045,Closed with explanation,Yes,Yes
639640,Closed with non-monetary relief,Yes,Yes
660632,Closed with explanation,Yes,No
634183,Closed with monetary relief,Yes,No
634184,Closed with explanation,Yes,No
670036,Closed with explanation,Yes,No
634189,Closed with explanation,Yes,No
670037,Closed with explanation,Yes,No
687028,Closed with explanation,Yes,No
671461,Closed with explanation,Yes,Yes
661846,Closed with explanation,Yes,No
627515,Closed with explanation,Yes,No
661856,Closed with explanation,Yes,No
670060,Closed with explanation,Yes,No
639155,Closed with explanation,Yes,Yes
661864,Closed with non-monetary relief,Yes,No
639164,Closed with explanation,Yes,No
639168,Closed with explanation,Yes,No
661873,Closed with monetary relief,Yes,Yes
634745,Closed with explanation,Yes,Yes
654639,Closed with monetary relief,Yes,No
669298,Closed with explanation,Yes,No
634754,Closed with explanation,Yes,No
670084,Closed with explanation,Yes,Yes
625736,Closed with explanation,Yes,No
634755,Closed with explanation,Yes,No
647376,Closed with explanation,Yes,Yes
634762,Closed with explanation,Yes,No
647382,Closed with non-monetary relief,Yes,No
634765,Closed with explanation,Yes,No
638139,Closed with explanation,Yes,Yes
634768,Closed with explanation,Yes,No
654655,Closed with non-monetary relief,Yes,No
639184,Closed with explanation,Yes,Yes
639186,Closed with explanation,Yes,No
637610,Closed with explanation,Yes,Yes
670097,Closed with explanation,Yes,No
661892,Closed with explanation,Yes,No
639615,Closed with explanation,Yes,No
670103,Closed with monetary relief,Yes,No
661895,Closed with explanation,Yes,Yes
670106,Closed with explanation,Yes,No
635888,Closed with explanation,Yes,No
654662,Closed,Yes,Yes
660760,Closed with explanation,Yes,No
635146,Closed with explanation,Yes,No
625762,Closed with explanation,Yes,No
639198,Closed with monetary relief,Yes,No
670116,Closed with explanation,Yes,No
669369,Closed with non-monetary relief,Yes,No
654676,Closed with explanation,Yes,No
634823,Closed with explanation,Yes,No
624066,Closed with explanation,Yes,Yes
626572,Closed with explanation,Yes,No
655141,Closed with explanation,Yes,No
639216,Closed with explanation,Yes,No
635913,Closed with explanation,No,
626651,Closed,Yes,Yes
634781,Closed with explanation,Yes,No
670140,Closed with explanation,Yes,Yes
638587,Closed with explanation,Yes,Yes
661923,Closed with explanation,Yes,No
654699,Closed with explanation,Yes,Yes
648725,Closed with explanation,Yes,No
639228,Closed with non-monetary relief,Yes,No
660707,Closed with explanation,Yes,Yes
669986,Closed with explanation,Yes,No
661931,Closed with explanation,Yes,Yes
636210,Closed with explanation,Yes,No
661932,Closed with explanation,Yes,Yes
654710,Closed with explanation,Yes,No
639243,Closed with explanation,Yes,No
626656,Closed with explanation,Yes,No
661938,Closed with explanation,Yes,No
670897,Closed,Yes,No
654718,Closed with explanation,Yes,No
670152,Closed with monetary relief,Yes,No
670333,Closed with explanation,Yes,No
670317,Closed with explanation,Yes,No
647013,Closed with non-monetary relief,Yes,No
653431,Closed with explanation,No,
661946,Closed with explanation,Yes,No
634818,Closed with explanation,Yes,No
661948,Closed with explanation,Yes,No
672134,Closed with explanation,Yes,No
627597,Closed with explanation,Yes,Yes
670161,Closed with explanation,Yes,Yes
638905,Closed with explanation,Yes,No
625822,Closed,No,
647456,Closed with explanation,Yes,No
635907,Closed with explanation,Yes,No
634849,Closed,Yes,No
639280,Closed with explanation,Yes,No
670180,Closed,Yes,No
648106,Closed with explanation,Yes,Yes
625802,Closed with explanation,Yes,No
634870,Closed with explanation,Yes,No
670192,Closed with explanation,Yes,Yes
654764,Closed with explanation,Yes,No
625847,Closed with explanation,Yes,Yes
647483,Closed with explanation,Yes,No
660602,Closed with explanation,Yes,No
660577,Closed with explanation,Yes,No
653623,Closed with explanation,Yes,Yes
647487,Closed with explanation,Yes,Yes
625855,Closed with explanation,Yes,No
669267,Closed with explanation,Yes,Yes
653596,Closed with explanation,Yes,No
654775,Closed with explanation,Yes,Yes
660691,Closed with non-monetary relief,Yes,Yes
635910,Closed with explanation,Yes,No
625857,Closed with explanation,Yes,Yes
647499,Closed with explanation,Yes,Yes
625862,Closed with explanation,Yes,Yes
639317,Closed with non-monetary relief,Yes,No
647492,Closed with explanation,Yes,No
647493,Closed with non-monetary relief,Yes,No
654783,Closed with explanation,Yes,No
639322,Closed with non-monetary relief,Yes,No
670211,Closed with explanation,Yes,No
634900,Closed with explanation,Yes,No
654790,Closed with explanation,Yes,No
635922,Closed with explanation,Yes,No
654793,Closed with explanation,Yes,No
670214,Closed with non-monetary relief,Yes,No
654794,Closed with explanation,Yes,No
660547,Closed with explanation,Yes,Yes
669471,Closed with explanation,Yes,Yes
670221,Closed,Yes,No
647500,Closed with explanation,Yes,Yes
647521,Closed with explanation,Yes,No
625876,Closed with explanation,Yes,No
662016,Closed with non-monetary relief,Yes,No
627451,Closed with explanation,Yes,No
662018,Closed with explanation,Yes,
660640,Closed with explanation,Yes,No
654807,Closed with explanation,Yes,No
662026,Closed with explanation,Yes,No
653677,Closed with non-monetary relief,Yes,No
670235,Closed with non-monetary relief,Yes,No
639948,Closed with non-monetary relief,Yes,No
653678,Closed with explanation,Yes,No
625889,Closed with explanation,Yes,No
638168,Closed with explanation,Yes,No
647538,Closed with explanation,Yes,Yes
653420,Closed with explanation,Yes,No
625599,Closed with explanation,Yes,Yes
625894,Closed with explanation,Yes,No
647547,Closed with explanation,Yes,No
669644,Closed with explanation,Yes,No
669422,Closed with explanation,Yes,No
647556,Closed,Yes,Yes
639361,Closed with monetary relief,Yes,No
639363,Closed,Yes,No
625902,Closed with non-monetary relief,Yes,No
669272,Closed with explanation,Yes,No
625903,Closed with monetary relief,Yes,No
639366,Closed with explanation,Yes,No
654839,Closed with explanation,Yes,No
647566,Closed with explanation,Yes,No
639377,Closed with explanation,Yes,No
647569,Closed,Yes,No
625909,Closed with explanation,Yes,No
638270,Closed with explanation,Yes,Yes
654851,Closed with explanation,Yes,No
662076,Closed with non-monetary relief,Yes,No
639381,Closed with explanation,Yes,No
654855,Closed with explanation,Yes,No
624064,Closed with explanation,Yes,No
647582,Closed with explanation,Yes,No
647587,Closed with explanation,Yes,Yes
625926,Closed with explanation,Yes,No
638241,Closed with explanation,Yes,No
654866,Closed with monetary relief,Yes,No
662090,Closed with explanation,No,Yes
670288,Closed with explanation,Yes,No
634600,Closed with non-monetary relief,Yes,No
654874,Closed with explanation,Yes,No
639404,Closed with explanation,Yes,No
653568,Closed with explanation,Yes,No
669372,Closed with explanation,Yes,No
634602,Closed with non-monetary relief,Yes,No
647604,Closed with explanation,Yes,No
634603,Closed with explanation,Yes,No
654882,Closed with explanation,Yes,Yes
654884,Closed with monetary relief,Yes,Yes
634931,Closed with explanation,Yes,No
654888,Closed with explanation,Yes,No
648505,Closed,Yes,Yes
648483,Closed with explanation,Yes,Yes
671271,Closed with explanation,Yes,No
669989,Closed with non-monetary relief,Yes,No
670305,Closed with non-monetary relief,Yes,No
662110,Closed with explanation,Yes,No
662112,Closed with explanation,Yes,Yes
639422,Closed with explanation,Yes,No
627452,Closed with non-monetary relief,Yes,No
654898,Closed with explanation,Yes,No
639533,Closed with explanation,Yes,Yes
653578,Closed with explanation,Yes,Yes
654902,Closed with monetary relief,Yes,No
654903,Closed with explanation,Yes,
639646,Closed with explanation,Yes,No
654907,Closed with explanation,Yes,No
671473,Closed with monetary relief,Yes,No
670327,Closed with non-monetary relief,Yes,No
639439,Closed with explanation,Yes,No
662140,Closed with non-monetary relief,Yes,No
654911,Closed with non-monetary relief,Yes,No
654912,Closed with monetary relief,Yes,No
662147,Closed with explanation,Yes,No
635033,Closed,Yes,No
654915,Closed with monetary relief,Yes,No
625964,Closed with non-monetary relief,Yes,No
639037,Closed with explanation,Yes,No
654920,Closed with explanation,Yes,No
662151,Closed with explanation,Yes,Yes
639449,Closed with explanation,Yes,No
625976,Closed with explanation,Yes,No
655395,Closed with explanation,Yes,No
662156,Closed with monetary relief,Yes,No
654923,Closed with explanation,Yes,Yes
669481,Closed with non-monetary relief,Yes,No
625980,Closed with non-monetary relief,Yes,No
625975,Closed with explanation,Yes,No
647649,Closed with explanation,Yes,No
670347,Closed with explanation,Yes,No
662164,Closed with explanation,Yes,No
654926,Closed with monetary relief,Yes,No
634685,Closed with non-monetary relief,Yes,No
654933,Closed with explanation,Yes,Yes
670352,Closed with explanation,Yes,No
670361,Closed with non-monetary relief,Yes,No
646850,Closed with explanation,Yes,Yes
639460,Closed with explanation,Yes,No
625994,Closed with explanation,Yes,Yes
654941,Closed with explanation,Yes,No
654943,Closed with explanation,Yes,No
639463,Closed with monetary relief,Yes,Yes
647666,Closed with explanation,Yes,No
654862,Closed with explanation,Yes,No
654948,Closed with explanation,Yes,No
669647,Closed with explanation,Yes,No
654950,Closed with explanation,Yes,No
655417,Closed with non-monetary relief,Yes,Yes
670381,Closed with explanation,Yes,No
639345,Closed with explanation,Yes,No
654955,Closed with explanation,Yes,No
648333,Closed with explanation,Yes,
635076,Closed with non-monetary relief,Yes,No
639589,Closed,Yes,No
662901,Closed with explanation,Yes,No
647668,Closed with non-monetary relief,Yes,No
662957,Closed with explanation,Yes,No
647682,Closed with non-monetary relief,Yes,No
639899,Closed with explanation,Yes,Yes
654972,Closed with explanation,Yes,No
638226,Closed with non-monetary relief,No,
647647,Closed with explanation,No,No
654976,Closed with explanation,Yes,No
654970,Closed,Yes,No
670404,Closed with non-monetary relief,Yes,Yes
654980,Closed with explanation,Yes,No
654977,Closed with explanation,Yes,No
635099,Closed with monetary relief,Yes,Yes
635100,Closed with explanation,Yes,No
647701,Closed with explanation,Yes,No
662981,Closed with explanation,Yes,No
655398,Closed with explanation,Yes,No
670413,Closed with explanation,Yes,No
647710,Closed with non-monetary relief,Yes,No
662983,Closed with non-monetary relief,Yes,No
626031,Closed with explanation,Yes,Yes
654991,Closed with explanation,Yes,No
653615,Closed with explanation,Yes,Yes
639528,Closed with explanation,Yes,
653584,Closed with explanation,No,
626709,Closed with explanation,Yes,Yes
662976,Closed with explanation,Yes,No
655012,Closed with explanation,Yes,No
646968,Closed with explanation,Yes,Yes
670438,Closed with explanation,Yes,No
653617,Closed with explanation,Yes,Yes
663012,Closed with monetary relief,Yes,No
669343,Closed with explanation,Yes,No
653853,Closed with explanation,Yes,No
647744,Closed with explanation,Yes,No
670289,Closed with non-monetary relief,Yes,No
655037,Closed with explanation,Yes,No
655038,Closed with explanation,Yes,No
663032,Closed with explanation,Yes,No
635156,Closed with non-monetary relief,Yes,No
655041,Closed with explanation,Yes,Yes
635158,Closed with explanation,Yes,No
655049,Closed with explanation,Yes,No
670459,Closed with non-monetary relief,Yes,No
640268,Closed with non-monetary relief,Yes,No
640271,Closed with monetary relief,Yes,No
647757,Closed with explanation,Yes,No
663055,Closed with monetary relief,Yes,No
655061,Closed with explanation,Yes,No
640285,Closed with explanation,Yes,No
647765,Closed with explanation,Yes,No
663063,Closed with explanation,Yes,No
655070,Closed with explanation,Yes,No
626102,Closed with monetary relief,Yes,No
626105,Closed with explanation,Yes,Yes
663066,Closed with monetary relief,Yes,No
640292,Closed with explanation,Yes,No
670489,Closed with explanation,Yes,No
663073,Closed with explanation,Yes,Yes
640297,Closed with explanation,Yes,No
647783,Closed with explanation,Yes,
655138,Closed with explanation,Yes,No
635191,Closed with monetary relief,Yes,No
635192,Closed with explanation,Yes,No
655086,Closed with explanation,Yes,No
653567,Closed with explanation,Yes,No
635197,Closed with non-monetary relief,Yes,No
647788,Closed with monetary relief,Yes,No
663084,Closed with explanation,Yes,Yes
640306,Closed with non-monetary relief,Yes,No
653688,Closed with explanation,Yes,No
655090,Closed with explanation,Yes,Yes
640311,Closed with explanation,Yes,No
663085,Closed with non-monetary relief,Yes,No
655093,Closed with explanation,Yes,Yes
647796,Closed with explanation,Yes,No
640315,Closed with explanation,Yes,No
635203,Closed with explanation,Yes,No
635200,Closed with explanation,Yes,No
663096,Closed with explanation,Yes,Yes
655098,Closed with explanation,Yes,Yes
655102,Closed with explanation,Yes,No
655103,Closed with explanation,Yes,No
670512,Closed with explanation,Yes,No
663106,Closed with explanation,Yes,No
626136,Closed with explanation,Yes,No
640333,Closed with monetary relief,Yes,No
670522,Closed with explanation,Yes,Yes
626137,Closed with explanation,Yes,No
662557,Closed with explanation,Yes,No
655111,Closed with explanation,Yes,No
655638,Closed with explanation,Yes,Yes
640343,Closed with monetary relief,Yes,No
670527,Closed with explanation,Yes,No
655640,Closed with explanation,Yes,No
640478,Closed with monetary relief,Yes,No
670532,Closed with explanation,Yes,No
640114,Closed with explanation,Yes,No
656909,Closed with explanation,Yes,No
